NB_VEHICLES,CAPACITY,SPEED,NB_REQUEST,,,
50,7000,1,51,,,
,,,,,,
NO,X_COORD,Y_COORD,DEMAND,E_TIME,L_TIME,S_TIME
0,40,50,0,0,3390,0
1,52,75,100,231,551,90
2,45,70,300,133,453,90
3,62,69,100,1087,1407,90
4,60,66,100,1181,1501,90
5,42,65,100,15,335,90
6,16,42,200,417,737,90
7,35,66,100,2711,3031,90
8,22,85,100,1946,2266,90
9,35,69,100,2618,2938,90
10,15,80,100,1757,2077,90
11,0,40,300,983,1303,90
12,5,35,100,796,1116,90
13,20,85,400,1854,2174,0
14,15,75,200,1662,1982,90
15,30,50,100,10,330,90
16,28,52,200,12,332,90
17,10,35,200,701,1021,90
18,25,50,100,36,356,90
19,5,45,100,1173,1493,90
20,2,40,200,891,1211,90
21,20,50,100,318,638,90
22,20,55,100,223,543,90
23,50,35,200,40,360,90
24,26,32,100,2212,2532,90
25,25,35,100,2305,2625,90
26,35,5,200,1455,1775,90
27,48,20,100,887,1207,90
28,34,25,300,1929,2249,90
29,44,5,200,1176,1496,90
30,50,30,100,321,641,90
31,38,10,100,1550,1870,90
32,42,10,400,1080,1400,90
33,42,15,100,985,1305,90
34,47,35,100,508,828,90
35,47,40,100,12,332,90
36,53,30,100,228,548,90
37,53,35,500,133,453,90
38,45,35,100,600,920,90
39,90,35,100,2051,2371,90
40,95,35,200,2146,2466,90
41,75,55,200,1845,2165,90
42,45,65,200,38,358,90
43,87,30,100,2528,2848,90
44,85,25,100,2433,2753,90
45,85,35,300,2623,2943,0
46,65,60,300,1466,1786,90
47,70,58,200,1561,1881,90
48,66,55,100,1656,1976,90
49,65,82,100,708,1028,90
50,42,58,400,8,328,90
51,60,85,300,517,837,90
52,55,85,-100,422,742,90
53,58,70,-300,993,1313,90
54,56,64,-100,1275,1595,90
55,72,45,-100,2820,3140,90
56,55,80,-100,327,647,90
57,18,75,-200,2231,2551,90
58,34,60,-100,2807,3127,90
59,28,70,-100,2521,2841,90
60,30,56,-100,2903,3223,90
61,25,85,-100,2039,2359,90
62,22,75,-300,2325,2645,90
63,20,80,-100,2136,2456,90
64,20,85,-400,1854,2174,90
65,22,66,-200,2424,2744,90
66,23,52,-100,129,449,90
67,0,45,-200,1078,1398,90
68,14,66,-200,1563,1883,90
69,8,45,-100,1266,1586,90
70,8,62,-100,1465,1785,90
71,4,55,-200,1367,1687,90
72,8,40,-100,605,925,90
73,10,40,-100,513,833,90
74,36,18,-200,1739,2059,90
75,35,32,-100,2678,2998,90
76,33,32,-100,2586,2906,90
77,33,35,-200,2493,2813,90
78,32,20,-100,1833,2153,90
79,30,30,-300,2025,2345,90
80,30,35,-200,2400,2720,90
81,36,40,-100,2776,3096,90
82,25,30,-100,2120,2440,90
83,38,5,-400,1362,1682,90
84,38,15,-100,1645,1965,90
85,40,5,-100,1270,1590,90
86,50,40,-100,14,334,90
87,48,30,-100,413,733,90
88,44,25,-500,791,1111,90
89,42,30,-100,696,1016,90
90,95,30,-100,2241,2561,90
91,64,46,-200,2955,3275,90
92,92,30,-200,2334,2654,90
93,62,80,-200,801,1121,90
94,78,40,-100,2722,3042,90
95,60,55,-100,2959,3279,90
96,85,35,-300,2623,2943,90
97,72,55,-300,1752,2072,90
98,86,46,-200,1949,2269,90
99,62,40,-100,2921,3241,90
100,60,60,-100,1371,1691,90
101,67,85,-400,614,934,90
102,58,75,-300,898,1218,90
