NB_VEHICLES,CAPACITY,SPEED,NB_REQUEST
50,2000,1,53

NO,X_COORD,Y_COORD,DEMAND,E_TIME,L_TIME,S_TIME
0,40,50,0,0,1236,0
1,35,69,100,448,505,90
2,40,69,200,621,702,90
3,42,66,100,65,146,90
4,38,70,100,534,605,90
5,42,65,100,15,67,90
6,38,68,200,255,324,90
7,15,75,200,179,254,90
8,22,75,300,30,92,90
9,20,85,400,475,528,90
10,15,80,100,278,345,90
11,30,50,100,10,73,90
12,20,55,100,449,504,90
13,23,55,200,546,593,90
14,28,55,100,732,777,0
15,25,52,400,169,224,90
16,20,50,100,358,405,90
17,10,40,300,31,100,90
18,8,40,400,87,158,90
19,0,40,300,479,522,90
20,5,35,100,283,344,90
21,5,45,100,665,716,0
22,33,32,200,68,149,90
23,33,35,100,16,80,90
24,32,30,100,359,412,90
25,30,30,100,541,600,90
26,28,35,100,1001,1066,90
27,26,32,100,815,880,90
28,25,30,100,725,786,0
29,44,5,200,286,347,90
30,42,10,400,186,257,90
31,40,15,400,35,87,90
32,40,5,300,385,436,90
33,47,40,100,12,77,90
34,50,35,200,262,317,90
35,50,40,500,171,218,90
36,48,30,100,632,693,0
37,48,40,100,76,129,90
38,47,35,100,826,875,90
39,85,35,300,47,124,90
40,95,35,200,293,360,90
41,90,35,100,203,260,90
42,88,35,200,109,170,0
43,87,30,100,668,731,90
44,75,55,200,369,420,90
45,65,55,200,85,144,90
46,70,58,200,458,523,90
47,66,55,100,173,238,90
48,60,55,100,20,84,90
49,67,85,200,368,441,90
50,60,80,100,95,156,90
51,58,75,200,30,84,90
52,60,85,300,561,622,0
53,55,85,200,647,726,90
54,45,68,-100,912,967,90
55,45,70,-200,825,870,90
56,45,65,-100,997,1068,90
57,42,68,-100,727,782,90
58,40,66,-100,170,225,90
59,35,66,-200,357,410,90
60,25,85,-200,652,721,90
61,18,75,-300,99,148,90
62,22,85,-400,567,620,90
63,20,80,-100,384,429,90
64,25,50,-100,65,144,90
65,30,52,-100,914,965,90
66,28,52,-200,812,883,90
67,28,55,-100,732,777,90
68,23,52,-400,261,316,90
69,25,55,-100,622,701,90
70,10,35,-300,200,237,90
71,2,40,-400,383,434,90
72,8,45,-300,751,816,90
73,0,45,-100,567,624,90
74,5,45,-100,665,716,90
75,35,30,-200,264,321,90
76,35,32,-100,166,235,90
77,30,32,-100,448,509,90
78,28,30,-100,632,693,90
79,30,35,-100,1054,1127,90
80,25,35,-100,912,969,90
81,25,30,-100,725,786,90
82,38,5,-200,471,534,90
83,35,5,-400,562,629,90
84,42,15,-400,95,158,90
85,38,15,-300,651,740,90
86,50,30,-100,531,610,90
87,45,30,-200,734,777,90
88,53,35,-500,353,412,90
89,48,30,-100,632,693,90
90,53,30,-100,450,505,90
91,45,35,-100,916,969,90
92,95,30,-300,387,456,90
93,88,30,-200,574,643,90
94,92,30,-100,478,551,90
95,88,35,-200,109,170,90
96,85,25,-100,769,820,90
97,68,60,-200,555,612,90
98,72,55,-200,265,338,90
99,63,58,-200,737,802,90
100,60,60,-100,836,889,90
101,65,60,-100,645,708,90
102,65,85,-200,475,518,90
103,65,82,-100,285,336,90
104,62,80,-200,196,239,90
105,60,85,-300,561,622,90
106,55,80,-200,743,820,90
