NB_VEHICLES,CAPACITY,SPEED,NB_REQUEST
50,7000,1,51

NO,X_COORD,Y_COORD,DEMAND,E_TIME,L_TIME,S_TIME
0,40,50,0,0,3390,0
1,52,75,100,302,479,90
2,45,70,300,157,428,90
3,62,69,100,1138,1355,90
4,60,66,100,1247,1434,90
5,42,65,100,15,208,90
6,16,42,200,209,944,90
7,35,66,100,2311,3283,90
8,20,85,400,1512,2515,90
9,35,69,100,2428,3127,90
10,5,35,100,377,1534,90
11,0,40,300,637,1648,90
12,15,75,200,1299,2344,90
13,18,75,200,1895,2886,90
14,15,80,100,1461,2372,0
15,30,50,100,10,963,90
16,28,52,200,12,752,90
17,10,35,200,309,1412,90
18,25,50,100,15,532,90
19,5,45,100,819,1846,90
20,2,40,200,494,1607,90
21,20,50,100,20,948,90
22,20,55,100,63,702,90
23,50,35,200,18,474,90
24,25,35,100,2070,2859,90
25,35,5,200,1180,2049,90
26,26,32,100,1842,2901,90
27,48,20,100,812,1281,90
28,34,25,300,1782,2395,90
29,44,5,200,1078,1593,90
30,50,30,100,223,738,90
31,38,10,100,1392,2027,90
32,42,10,400,998,1481,90
33,42,15,100,897,1392,90
34,47,35,100,393,942,90
35,47,40,100,12,424,90
36,53,30,100,131,644,90
37,53,35,500,87,498,90
38,45,35,100,534,985,90
39,90,35,100,2106,2315,90
40,95,35,200,2192,2419,90
41,75,55,200,1894,2115,90
42,45,65,200,49,346,90
43,87,30,100,2505,2870,90
44,85,25,100,2369,2816,90
45,85,35,300,2563,3002,0
46,65,60,300,1482,1769,90
47,70,58,200,1617,1824,90
48,66,55,100,1710,1921,90
49,65,82,100,708,1027,90
50,42,58,400,8,258,90
51,60,85,300,537,816,90
52,55,85,-100,477,686,90
53,58,70,-300,1059,1246,90
54,56,64,-100,1275,1594,90
55,72,45,-100,2701,3258,90
56,55,80,-100,379,594,90
57,20,80,-200,1858,2733,90
58,34,60,-100,2035,3288,90
59,28,70,-400,2090,3271,90
60,30,56,-100,2062,3288,90
61,25,85,-100,1772,2625,90
62,22,75,-300,2135,2834,90
63,22,85,-200,1586,2625,90
64,22,66,-200,2177,2990,90
65,15,80,-100,1461,2372,90
66,23,52,-100,17,602,90
67,0,45,-200,834,1641,90
68,14,66,-200,1316,2129,90
69,8,45,-100,954,1897,90
70,8,62,-100,1036,2213,90
71,4,55,-200,1010,2043,90
72,8,40,-100,234,1295,90
73,10,40,-100,336,1009,90
74,36,18,-200,1468,2329,90
75,35,32,-100,2480,3195,90
76,33,32,-200,2421,3070,90
77,33,35,-100,2368,2937,90
78,32,20,-100,1621,2364,90
79,30,30,-300,1805,2564,90
80,30,35,-200,2242,2877,90
81,36,40,-100,2605,3266,90
82,25,30,-100,1883,2676,90
83,38,5,-400,1133,1910,90
84,38,15,-100,1426,2183,90
85,40,5,-100,1083,1776,90
86,50,40,-100,14,360,90
87,48,30,-100,246,899,90
88,44,25,-500,704,1197,90
89,42,30,-100,641,1070,90
90,95,30,-100,2119,2682,90
91,64,46,-200,2976,3275,90
92,92,30,-200,2169,2818,90
93,62,80,-200,852,1069,90
94,78,40,-100,2599,3164,90
95,60,55,-100,2789,3279,90
96,85,35,-300,2563,3002,90
97,72,55,-300,1751,2072,90
98,86,46,-200,1969,2248,90
99,62,40,-100,2713,3275,90
100,60,60,-100,1440,1621,90
101,67,85,-400,646,901,90
102,58,75,-300,948,1167,90
