NB_VEHICLES,CAPACITY,SPEED,NB_REQUEST
50,2000,1,53

NO,X_COORD,Y_COORD,DEMAND,E_TIME,L_TIME,S_TIME
0,40,50,0,0,1236,0
1,45,68,100,760,1120,90
2,38,70,100,390,750,90
3,42,65,100,15,375,90
4,40,66,200,18,378,90
5,35,69,100,297,657,90
6,38,68,200,110,470,90
7,15,80,100,132,492,90
8,22,75,300,30,390,90
9,18,75,200,33,393,90
10,15,75,200,37,397,90
11,30,50,100,10,370,90
12,28,55,100,575,935,90
13,23,55,200,390,750,90
14,25,52,400,17,377,90
15,20,50,100,202,562,90
16,23,52,100,109,469,0
17,8,40,400,33,393,90
18,10,40,300,31,391,90
19,0,40,300,321,681,90
20,5,35,100,134,494,90
21,5,45,100,511,871,0
22,35,32,100,21,381,90
23,33,35,100,16,376,90
24,32,30,100,206,566,90
25,30,32,300,299,659,90
26,26,32,100,668,1028,90
27,28,30,100,483,843,0
28,25,35,100,761,1121,90
29,44,5,200,137,497,90
30,42,10,400,42,402,90
31,40,15,400,35,395,90
32,35,5,200,416,776,90
33,50,30,100,391,751,90
34,48,40,100,12,372,90
35,50,40,500,15,375,90
36,47,40,100,12,372,90
37,45,30,100,576,936,90
38,95,30,300,242,602,90
39,90,35,100,52,412,90
40,53,30,100,298,658,0
41,88,30,100,429,789,0
42,85,35,300,47,407,90
43,87,30,100,520,880,90
44,72,55,100,122,482,90
45,66,55,100,26,386,90
46,68,60,300,404,764,90
47,65,55,200,25,385,90
48,60,55,100,20,380,90
49,67,85,200,225,585,90
50,58,75,200,30,390,90
51,62,80,300,38,398,90
52,60,80,100,36,396,0
53,60,85,300,412,772,90
54,45,65,-100,770,1130,90
55,45,70,-100,668,1028,90
56,42,66,-100,16,376,90
57,42,68,-200,575,935,90
58,40,69,-100,482,842,90
59,35,66,-200,204,564,90
60,25,85,-100,507,867,90
61,22,85,-300,414,774,90
62,20,80,-200,227,587,90
63,20,85,-200,322,682,90
64,25,50,-100,15,375,90
65,30,52,-100,760,1120,90
66,28,52,-200,668,1028,90
67,20,55,-400,297,657,90
68,25,55,-100,482,842,90
69,23,52,-100,109,469,90
70,10,35,-400,39,399,90
71,2,40,-300,229,589,90
72,8,45,-300,604,964,90
73,0,45,-100,416,776,90
74,5,45,-100,511,871,90
75,35,30,-100,113,473,90
76,33,32,-100,19,379,90
77,30,30,-100,391,751,90
78,25,30,-300,576,936,90
79,30,35,-100,767,1127,90
80,28,30,-100,483,843,90
81,28,35,-100,766,1126,90
82,38,5,-200,323,683,90
83,40,5,-400,231,591,90
84,42,15,-400,35,395,90
85,38,15,-200,516,876,90
86,45,35,-100,763,1123,90
87,50,35,-100,110,470,90
88,53,35,-500,203,563,90
89,48,30,-100,483,843,90
90,47,35,-100,671,1031,90
91,92,30,-300,335,695,90
92,95,35,-100,147,507,90
93,53,30,-100,298,658,90
94,88,30,-100,429,789,90
95,88,35,-300,50,410,90
96,85,25,-100,615,975,90
97,75,55,-100,215,575,90
98,70,58,-100,311,671,90
99,60,60,-300,683,1043,90
100,63,58,-200,590,950,90
101,65,60,-100,497,857,90
102,55,85,-200,507,867,90
103,65,85,-200,317,677,90
104,65,82,-300,131,491,90
105,60,80,-100,36,396,90
106,55,80,-300,602,962,90
