NB_VEHICLES,CAPACITY,SPEED,NB_REQUEST
50,2000,1,53

NO,X_COORD,Y_COORD,DEMAND,E_TIME,L_TIME,S_TIME
0,40,50,0,0,1236,0
1,40,69,200,559,764,90
2,38,70,100,489,650,90
3,42,66,100,55,156,90
4,38,68,200,250,329,90
5,42,65,100,15,60,90
6,40,66,200,172,223,90
7,20,85,400,478,525,90
8,22,75,300,30,95,90
9,15,75,200,172,261,90
10,15,80,100,274,349,90
11,30,50,100,10,77,90
12,25,55,100,612,711,90
13,28,52,200,806,889,0
14,25,50,100,55,154,90
15,23,52,100,264,313,90
16,20,55,100,452,501,90
17,10,35,200,204,233,90
18,10,40,300,31,189,90
19,8,40,400,42,203,90
20,5,45,100,648,733,0
21,0,40,300,474,527,90
22,35,30,100,240,345,90
23,35,32,100,123,278,90
24,33,32,200,19,225,90
25,33,35,100,16,153,90
26,32,30,100,338,433,90
27,30,30,100,513,628,90
28,26,32,100,779,916,0
29,44,5,200,221,412,90
30,42,10,400,96,347,90
31,40,15,400,35,172,90
32,38,5,300,403,602,90
33,50,30,100,422,719,90
34,47,40,100,12,226,90
35,50,40,500,142,247,90
36,48,40,100,34,171,90
37,47,35,100,794,907,0
38,53,30,100,402,553,90
39,95,30,300,266,577,90
40,88,35,200,50,237,90
41,90,35,100,153,310,90
42,88,30,100,450,767,90
43,85,35,300,47,331,0
44,75,55,200,311,478,90
45,72,55,100,127,476,90
46,66,55,100,67,344,90
47,68,60,300,476,691,90
48,60,55,100,20,293,90
49,60,80,100,36,291,90
50,65,82,100,227,394,90
51,62,80,300,163,272,90
52,58,75,200,30,227,90
53,55,85,200,493,880,0
54,45,68,-200,890,989,90
55,45,70,-100,816,879,90
56,45,65,-100,951,1114,90
57,42,68,-200,703,806,90
58,35,66,-100,361,406,90
59,35,69,-200,450,503,90
60,25,85,-400,647,726,90
61,18,75,-300,105,142,90
62,22,85,-200,571,616,90
63,20,80,-100,392,421,90
64,25,52,-100,172,221,90
65,30,52,-100,918,961,90
66,28,52,-200,806,889,90
67,28,55,-100,739,770,90
68,20,50,-100,365,398,90
69,23,55,-100,553,586,90
70,8,45,-200,715,852,90
71,5,35,-300,251,376,90
72,2,40,-400,365,452,90
73,5,45,-100,648,733,90
74,0,45,-300,541,650,90
75,25,35,-100,857,1024,90
76,30,35,-100,872,1127,90
77,30,32,-200,415,542,90
78,28,30,-100,599,726,90
79,25,30,-100,695,816,90
80,28,35,-100,917,1126,90
81,26,32,-100,779,916,90
82,40,5,-200,347,474,90
83,38,15,-400,521,870,90
84,42,15,-400,35,233,90
85,35,5,-300,487,704,90
86,45,35,-100,873,1012,90
87,50,35,-100,217,362,90
88,48,30,-500,567,758,90
89,53,35,-100,294,471,90
90,47,35,-100,794,907,90
91,45,30,-100,716,795,90
92,92,30,-300,345,684,90
93,95,35,-200,181,472,90
94,87,30,-100,567,832,90
95,85,25,-100,713,876,90
96,85,35,-300,47,331,90
97,60,60,-200,769,956,90
98,63,58,-100,630,909,90
99,70,58,-100,349,632,90
100,65,60,-300,546,807,90
101,65,55,-100,25,256,90
102,67,85,-100,229,580,90
103,65,85,-100,442,551,90
104,55,80,-300,595,968,90
105,60,85,-200,469,714,90
106,55,85,-200,493,880,90
