NB_VEHICLES,CAPACITY,SPEED,NB_REQUEST,,,
50,7000,1,51,,,
,,,,,,
NO,X_COORD,Y_COORD,DEMAND,E_TIME,L_TIME,S_TIME
0,40,50,0,0,3390,0
1,52,75,100,311,471,90
2,45,70,300,213,373,90
3,62,69,100,1167,1327,90
4,60,85,300,597,757,90
5,42,65,100,25,185,90
6,16,42,200,497,657,90
7,67,85,200,694,854,90
8,34,60,200,2887,3047,90
9,28,70,100,2601,2761,90
10,20,80,400,2216,2376,90
11,20,85,400,1934,2094,90
12,20,50,100,398,558,90
13,20,55,100,303,463,90
14,14,66,100,1643,1803,90
15,15,75,200,1742,1902,90
16,30,50,100,10,170,90
17,28,52,200,22,182,90
18,8,40,400,685,845,90
19,8,62,100,1545,1705,0
20,2,40,200,971,1131,90
21,10,35,200,781,941,90
22,0,40,300,1063,1223,90
23,5,35,100,876,1036,90
24,36,18,100,1819,1979,90
25,34,25,300,2009,2169,90
26,33,35,100,2573,2733,90
27,42,15,100,1065,1225,90
28,50,30,100,401,561,90
29,30,35,100,2480,2640,90
30,45,35,100,680,840,90
31,53,35,500,213,373,90
32,44,5,200,1256,1416,90
33,53,30,100,308,468,90
34,40,5,300,1350,1510,90
35,48,30,100,493,653,90
36,44,25,100,871,1031,90
37,50,35,200,120,280,90
38,50,40,500,25,185,90
39,47,40,100,12,172,90
40,95,30,300,2321,2481,90
41,65,60,300,1546,1706,90
42,45,65,200,118,278,90
43,60,60,100,1451,1611,90
44,62,80,300,881,1041,90
45,85,35,300,2703,2863,90
46,75,55,200,1925,2085,0
47,58,75,200,978,1138,90
48,70,58,200,1641,1801,90
49,55,80,100,407,567,90
50,56,64,100,1355,1515,90
51,42,58,400,8,168,90
52,85,25,-100,2513,2673,90
53,65,82,-300,788,948,90
54,60,55,-100,3119,3279,90
55,60,66,-300,1261,1421,90
56,72,45,-100,2900,3060,90
57,10,40,-200,593,753,90
58,58,70,-200,1073,1233,90
59,30,56,-200,2983,3143,90
60,35,66,-100,2791,2951,90
61,35,69,-400,2698,2858,90
62,25,85,-400,2119,2279,90
63,22,75,-100,2405,2565,90
64,22,85,-100,2026,2186,90
65,18,75,-100,2311,2471,90
66,15,80,-200,1837,1997,90
67,23,52,-100,209,369,90
68,25,50,-200,116,276,90
69,22,66,-400,2504,2664,90
70,8,62,-100,1545,1705,90
71,4,55,-200,1447,1607,90
72,5,45,-200,1253,1413,90
73,8,45,-300,1346,1506,90
74,0,45,-100,1158,1318,90
75,26,32,-100,2292,2452,90
76,35,32,-300,2758,2918,90
77,33,32,-100,2666,2826,90
78,32,20,-100,1913,2073,90
79,30,30,-100,2105,2265,90
80,36,40,-100,2856,3016,90
81,48,20,-100,967,1127,90
82,25,30,-500,2200,2360,90
83,25,35,-200,2385,2545,90
84,42,10,-100,1160,1320,90
85,35,5,-300,1535,1695,90
86,38,15,-100,1725,1885,90
87,38,5,-100,1442,1602,90
88,38,10,-200,1630,1790,90
89,47,35,-500,588,748,90
90,42,30,-100,776,936,90
91,92,30,-300,2414,2574,90
92,95,35,-300,2226,2386,90
93,78,40,-200,2802,2962,90
94,90,35,-100,2131,2291,90
95,87,30,-300,2608,2768,90
96,64,46,-300,3097,3257,90
97,75,55,-200,1925,2085,90
98,72,55,-200,1832,1992,90
99,86,46,-200,2029,2189,90
100,66,55,-100,1736,1896,90
101,62,40,-100,3001,3161,90
102,55,85,-400,502,662,90
