NB_VEHICLES,CAPACITY,SPEED,NB_REQUEST,,,
50,2000,1,52,,,
,,,,,,
NO,X_COORD,Y_COORD,DEMAND,E_TIME,L_TIME,S_TIME
0,40,50,0,0,240,0
1,25,85,200,49,191,0
2,18,75,200,60,159,10
3,22,85,100,95,152,10
4,20,85,200,40,189,10
5,15,75,200,54,133,0
6,6,68,300,65,142,10
7,5,45,100,35,194,10
8,2,40,200,39,163,10
9,0,40,200,41,141,10
10,8,45,200,32,148,10
11,2,45,100,38,191,10
12,55,20,190,45,150,10
13,60,12,310,48,131,10
14,42,15,100,94,179,0
15,38,15,100,51,194,10
16,40,15,400,64,149,10
17,35,5,200,45,183,10
18,95,30,300,90,169,10
19,95,35,200,57,172,10
20,85,25,100,51,178,10
21,90,35,100,52,174,10
22,87,30,100,61,178,10
23,60,85,300,61,138,10
24,55,80,100,33,180,10
25,55,85,200,100,185,10
26,62,80,300,38,141,10
27,58,75,200,49,164,10
28,2,60,50,46,137,10
29,42,5,100,50,184,10
30,37,31,140,19,172,10
31,72,35,300,83,178,10
32,25,30,30,25,150,10
33,20,50,50,68,143,10
34,55,60,160,107,200,10
35,37,47,60,53,148,10
36,35,40,160,11,150,10
37,15,10,200,51,182,10
38,45,65,90,37,124,10
39,64,42,90,31,138,10
40,65,20,60,39,190,10
41,45,30,170,20,139,10
42,31,52,270,9,139,10
43,35,69,230,30,210,10
44,65,55,140,30,129,10
45,4,18,350,104,165,10
46,26,52,90,14,136,10
47,57,29,180,73,148,10
48,24,58,190,27,136,10
49,27,43,90,14,140,10
50,53,43,140,14,177,10
51,26,35,150,42,141,10
52,56,37,60,20,159,0
53,25,85,-200,49,191,10
54,22,75,-200,30,168,10
55,20,80,-100,69,193,10
56,20,82,-200,37,192,10
57,15,75,-200,54,133,10
58,15,80,-300,67,144,10
59,10,35,-100,57,154,10
60,10,40,-200,106,161,10
61,8,40,-200,33,152,10
62,0,45,-200,51,189,10
63,5,35,-100,53,191,10
64,44,5,-190,73,130,10
65,42,10,-310,40,148,10
66,42,15,-100,94,179,10
67,40,5,-100,45,161,10
68,38,5,-400,45,164,10
69,23,3,-200,49,180,10
70,61,52,-300,50,208,10
71,88,35,-200,50,172,10
72,92,30,-100,55,174,10
73,85,35,-100,83,168,10
74,88,30,-100,52,147,10
75,67,85,-300,57,185,10
76,65,85,-100,43,186,10
77,65,82,-200,95,182,10
78,60,80,-300,36,193,10
79,55,82,-200,35,142,10
80,18,80,-50,71,184,10
81,41,37,-100,97,198,10
82,42,12,-140,99,138,10
83,50,35,-300,91,198,10
84,10,20,-30,42,187,10
85,15,60,-50,62,203,10
86,55,54,-160,105,188,10
87,30,60,-60,95,214,10
88,30,25,-160,56,165,10
89,20,20,-200,71,193,10
90,57,48,-90,76,143,10
91,65,35,-90,29,168,10
92,49,42,-60,89,217,10
93,67,5,-170,52,177,10
94,40,60,-270,101,216,10
95,31,67,-230,43,210,10
96,63,65,-140,27,202,10
97,5,5,-350,57,165,10
98,8,56,-90,47,162,10
99,47,47,-180,93,222,10
100,49,58,-190,78,123,10
101,21,24,-90,63,140,10
102,63,23,-140,59,144,10
103,12,24,-150,91,118,10
104,56,37,-60,20,159,10
