NB_VEHICLES,CAPACITY,SPEED,NB_REQUEST,,,
50,7000,1,51,,,
,,,,,,
NO,X_COORD,Y_COORD,DEMAND,E_TIME,L_TIME,S_TIME
0,40,50,0,0,3390,0
1,52,75,100,0,3272,90
2,45,70,300,0,3279,90
3,45,65,200,0,3284,90
4,60,66,100,1261,1421,90
5,42,65,100,0,3284,90
6,25,50,100,0,3285,90
7,62,80,300,0,3262,90
8,15,80,100,0,3260,90
9,28,70,100,2601,2761,90
10,35,66,100,2791,2951,0
11,25,85,200,0,3261,90
12,2,40,200,0,3260,90
13,5,35,100,876,1036,90
14,8,40,400,685,845,90
15,20,50,100,0,3280,90
16,4,55,200,0,3263,90
17,30,50,100,0,3290,90
18,28,52,200,22,182,90
19,0,40,300,1063,1223,90
20,8,45,200,0,3267,90
21,23,52,100,209,369,90
22,20,55,100,303,463,90
23,10,35,200,0,3266,90
24,36,18,100,1819,1979,90
25,35,32,100,2758,2918,90
26,48,20,100,967,1127,90
27,53,30,100,0,3276,90
28,30,30,100,2105,2265,90
29,38,5,300,1442,1602,90
30,50,30,100,0,3277,90
31,35,5,200,0,3254,90
32,45,35,100,680,840,90
33,42,15,100,1065,1225,90
34,42,30,100,776,936,90
35,44,25,100,871,1031,90
36,38,10,100,0,3259,90
37,50,40,500,0,3285,90
38,48,30,100,493,653,90
39,47,40,100,12,172,90
40,86,46,300,0,3253,90
41,58,75,200,0,3269,90
42,72,45,100,2900,3060,90
43,65,82,100,0,3259,90
44,65,60,300,1546,1706,90
45,75,55,200,0,3264,90
46,60,60,100,0,3277,90
47,60,85,300,0,3259,90
48,56,64,100,0,3278,90
49,64,46,200,3097,3257,90
50,42,58,400,8,168,90
51,55,85,200,502,662,0
52,66,55,-100,0,3273,90
53,95,35,-300,0,3242,90
54,62,69,-200,0,3270,90
55,92,30,-100,0,3244,90
56,67,85,-100,694,854,90
57,16,42,-100,497,657,90
58,58,70,-300,0,3273,90
59,34,60,-100,2887,3047,90
60,35,69,-100,2698,2858,90
61,35,66,-100,2791,2951,90
62,22,75,-200,2405,2565,90
63,22,85,-200,0,3260,90
64,20,80,-100,2216,2376,90
65,20,85,-400,0,3259,90
66,18,75,-100,2311,2471,90
67,15,75,-200,0,3264,90
68,30,56,-100,0,3288,90
69,8,62,-200,0,3265,90
70,14,66,-300,1643,1803,90
71,22,66,-200,2504,2664,90
72,5,45,-100,1253,1413,90
73,10,40,-100,0,3268,90
74,0,45,-200,1158,1318,90
75,34,25,-100,0,3274,90
76,33,35,-100,0,3283,90
77,33,32,-100,2666,2826,90
78,32,20,-100,1913,2073,90
79,30,35,-100,0,3281,90
80,36,40,-300,0,3289,90
81,26,32,-100,0,3277,90
82,25,30,-200,0,3275,90
83,25,35,-100,0,3278,90
84,44,5,-100,1256,1416,90
85,42,10,-100,0,3259,90
86,40,5,-100,1350,1510,90
87,38,15,-100,0,3264,90
88,50,35,-500,120,280,90
89,47,35,-100,588,748,90
90,53,35,-100,213,373,90
91,95,30,-300,2321,2481,90
92,90,35,-200,2131,2291,90
93,62,40,-100,0,3275,90
94,78,40,-100,2802,2962,90
95,87,30,-300,2608,2768,90
96,85,25,-200,2513,2673,90
97,85,35,-100,0,3252,90
98,72,55,-300,0,3267,90
99,70,58,-100,1641,1801,90
100,60,55,-200,0,3279,90
101,55,80,-400,407,567,90
102,55,85,-200,502,662,90
