NB_VEHICLES,CAPACITY,SPEED,NB_REQUEST,,,
50,2000,1,52,,,
,,,,,,
NO,X_COORD,Y_COORD,DEMAND,E_TIME,L_TIME,S_TIME
0,40,50,0,0,1236,0
1,45,68,100,0,1127,90
2,42,68,100,727,782,90
3,42,66,100,0,1129,90
4,42,65,100,0,1130,90
5,35,66,100,357,410,90
6,40,66,200,0,1130,90
7,22,75,300,30,92,90
8,20,80,400,384,429,90
9,15,75,200,0,1110,90
10,18,75,200,99,148,90
11,30,50,100,0,1136,90
12,28,52,200,812,883,90
13,25,52,400,169,224,90
14,25,55,100,0,1130,0
15,23,52,100,261,316,90
16,20,50,100,0,1126,90
17,10,35,200,0,1112,90
18,10,40,300,0,1114,90
19,5,45,100,665,716,90
20,5,35,100,283,344,0
21,2,40,200,0,1106,90
22,35,30,100,264,321,90
23,35,32,100,166,235,90
24,33,32,200,68,149,90
25,33,35,100,0,1129,90
26,30,30,100,541,600,90
27,30,32,300,0,1125,0
28,25,35,100,0,1124,90
29,40,15,400,0,1111,90
30,42,10,400,0,1105,90
31,42,15,100,95,158,90
32,38,5,300,471,534,90
33,50,30,100,0,1123,90
34,50,35,200,262,317,90
35,87,30,100,668,731,90
36,48,30,100,632,693,90
37,47,40,100,12,77,90
38,53,30,100,0,1122,90
39,95,30,300,387,456,90
40,95,35,200,0,1088,90
41,90,35,100,203,260,90
42,85,35,300,0,1098,90
43,72,55,100,0,1113,90
44,60,55,100,0,1125,90
45,68,60,300,0,1116,90
46,66,55,100,0,1119,90
47,65,55,200,85,144,90
48,58,75,200,0,1115,90
49,65,85,400,475,518,0
50,65,82,100,0,1105,90
51,60,80,100,0,1109,90
52,60,85,300,0,1105,90
53,45,65,-100,0,1130,90
54,45,70,-100,0,1125,90
55,38,68,-100,255,324,90
56,35,69,-100,448,505,90
57,40,69,-100,621,702,90
58,38,70,-200,534,605,90
59,25,85,-300,0,1107,90
60,22,85,-400,0,1106,90
61,20,85,-200,0,1105,90
62,15,80,-200,0,1106,90
63,25,50,-100,0,1131,90
64,30,52,-200,0,1135,90
65,28,55,-400,732,777,90
66,25,55,-100,0,1130,90
67,20,55,-100,449,504,90
68,23,55,-100,0,1128,90
69,0,40,-200,479,522,90
70,8,40,-300,87,158,90
71,8,45,-100,0,1113,90
72,5,35,-100,283,344,90
73,0,45,-200,567,624,90
74,28,30,-100,0,1122,90
75,32,30,-100,359,412,90
76,28,35,-200,1001,1066,90
77,25,30,-100,0,1121,90
78,26,32,-100,0,1123,90
79,30,32,-300,0,1125,90
80,30,35,-100,0,1127,90
81,44,5,-400,286,347,90
82,40,5,-400,385,436,90
83,38,15,-100,0,1110,90
84,35,5,-300,0,1100,90
85,47,35,-100,826,875,90
86,53,35,-200,353,412,90
87,50,40,-100,0,1131,90
88,45,35,-100,916,969,90
89,48,40,-100,76,129,90
90,45,30,-100,734,777,90
91,85,25,-300,769,820,90
92,92,30,-200,0,1090,90
93,88,30,-100,574,643,90
94,88,35,-300,109,170,90
95,75,55,-100,0,1110,90
96,70,58,-100,458,523,90
97,60,60,-300,0,1123,90
98,63,58,-100,0,1121,90
99,65,60,-200,645,708,90
100,67,85,-200,368,441,90
101,65,85,-400,475,518,90
102,55,80,-100,743,820,90
103,62,80,-100,0,1108,90
104,55,85,-300,647,726,90
