NB_VEHICLES,CAPACITY,SPEED,NB_REQUEST
50,2000,1,54

NO,X_COORD,Y_COORD,DEMAND,E_TIME,L_TIME,S_TIME
0,40,50,0,0,240,0
1,25,85,200,71,191,10
2,22,75,300,30,150,10
3,18,75,200,96,123,10
4,20,80,400,151,161,0
5,15,75,200,35,155,10
6,15,80,100,101,111,10
7,8,40,400,69,79,10
8,10,40,300,123,144,10
9,27,43,90,14,134,10
10,5,45,100,35,117,10
11,2,40,200,68,78,10
12,0,40,200,59,114,0
13,44,5,200,79,124,10
14,42,10,400,58,115,10
15,42,5,100,64,184,10
16,35,40,160,11,43,10
17,37,31,140,19,139,10
18,38,15,100,128,194,0
19,95,30,300,58,171,10
20,95,35,200,60,93,10
21,90,35,100,52,112,10
22,88,35,200,50,170,10
23,87,30,100,116,175,10
24,85,25,100,51,85,10
25,67,85,200,138,169,0
26,65,85,400,43,78,10
27,62,80,300,85,95,10
28,60,80,100,36,74,10
29,58,75,200,92,121,10
30,55,80,100,33,66,10
31,55,82,100,74,84,10
32,20,82,100,37,72,10
33,26,52,90,14,134,10
34,42,12,100,109,128,10
35,65,20,60,39,108,10
36,45,30,170,53,82,10
37,37,47,60,74,127,10
38,55,60,160,127,180,10
39,30,60,160,150,160,0
40,41,37,160,134,161,10
41,56,37,60,20,140,10
42,10,20,190,42,162,10
43,2,60,50,65,118,10
44,65,35,30,62,72,10
45,64,42,90,80,90,10
46,31,52,270,51,61,10
47,65,55,140,52,107,10
48,63,65,80,27,147,10
49,26,35,150,87,97,10
50,12,24,130,100,110,10
51,8,56,270,90,119,0
52,53,43,140,15,25,10
53,67,5,250,105,177,0
54,49,42,130,97,217,0
55,31,67,-200,200,210,10
56,20,85,-300,40,160,10
57,22,85,-200,64,184,10
58,20,80,-400,151,161,10
59,40,60,-200,144,173,10
60,18,80,-100,98,157,10
61,10,35,-400,101,111,10
62,0,45,-300,147,180,10
63,8,45,-90,32,152,10
64,5,35,-100,152,162,10
65,4,18,-200,112,157,10
66,0,40,-200,59,114,10
67,35,5,-200,171,181,10
68,42,15,-400,111,162,10
69,40,5,-100,45,165,10
70,40,15,-160,94,119,10
71,38,5,-140,75,85,10
72,38,15,-100,128,194,10
73,88,30,-300,75,102,10
74,72,35,-200,71,191,10
75,92,30,-100,55,120,10
76,85,35,-200,62,182,10
77,47,47,-100,190,222,10
78,60,12,-100,85,95,10
79,67,85,-200,138,169,10
80,65,82,-400,69,189,10
81,55,85,-300,117,168,10
82,60,85,-100,87,112,10
83,55,54,-200,87,207,10
84,45,65,-100,55,106,10
85,35,69,-100,172,210,10
86,6,68,-100,99,109,10
87,2,45,-90,38,109,10
88,23,3,-100,163,173,10
89,55,20,-60,69,126,10
90,25,30,-170,25,145,10
91,20,50,-60,101,111,10
92,61,52,-160,173,208,10
93,30,60,-160,150,160,10
94,50,35,-160,130,159,10
95,30,25,-60,82,139,10
96,15,10,-190,172,182,10
97,15,60,-50,137,202,10
98,57,29,-30,106,116,10
99,63,23,-90,42,162,10
100,24,58,-270,67,96,10
101,49,58,-140,80,121,10
102,57,48,-80,50,170,10
103,20,20,-150,151,161,10
104,5,5,-130,57,172,10
105,8,56,-270,90,119,10
106,21,24,-140,77,126,10
107,67,5,-250,105,177,10
108,49,42,-130,97,217,10
