NB_VEHICLES,CAPACITY,SPEED,NB_REQUEST,,,
50,7000,1,51,,,
,,,,,,
NO,X_COORD,Y_COORD,DEMAND,E_TIME,L_TIME,S_TIME
0,40,50,0,0,3390,0
1,52,75,100,0,3272,90
2,45,70,300,0,3279,90
3,45,65,200,0,3284,90
4,60,66,100,1261,1421,90
5,42,65,100,0,3284,90
6,16,42,200,497,657,90
7,62,80,300,0,3262,90
8,25,85,200,0,3261,90
9,20,85,400,1934,2094,90
10,22,75,300,2405,2565,90
11,8,40,400,685,845,90
12,22,85,100,2026,2186,90
13,23,52,100,209,369,90
14,0,40,300,1063,1223,90
15,2,40,200,0,3260,90
16,30,50,100,10,170,90
17,8,45,200,0,3267,90
18,10,40,300,593,753,90
19,25,50,100,116,276,90
20,5,35,100,876,1036,90
21,0,45,200,1158,1318,90
22,20,50,100,398,558,90
23,10,35,200,0,3266,0
24,40,5,300,1350,1510,90
25,30,35,100,2480,2640,90
26,44,5,200,1256,1416,90
27,32,20,100,1913,2073,90
28,30,30,100,2105,2265,90
29,48,30,100,493,653,90
30,48,20,100,967,1127,90
31,25,30,100,2200,2360,90
32,50,35,200,120,280,90
33,42,30,100,776,936,90
34,44,25,100,871,1031,90
35,53,30,100,0,3276,90
36,47,40,100,12,172,90
37,50,30,100,401,561,90
38,50,40,500,25,185,90
39,53,35,500,213,373,90
40,86,46,300,0,3253,90
41,58,75,200,0,3269,90
42,72,45,100,2900,3060,90
43,65,82,100,0,3259,90
44,65,60,300,1546,1706,90
45,75,55,200,0,3264,90
46,60,60,100,0,3277,90
47,60,85,300,597,757,90
48,56,64,100,1355,1515,90
49,64,46,200,3097,3257,90
50,42,58,400,8,168,90
51,55,85,200,502,662,0
52,66,55,-100,1736,1896,90
53,95,35,-300,2226,2386,90
54,62,69,-200,0,3270,90
55,92,30,-100,2414,2574,90
56,67,85,-100,694,854,90
57,15,80,-200,1837,1997,90
58,58,70,-300,0,3273,90
59,34,60,-200,2887,3047,90
60,28,70,-400,2601,2761,90
61,35,66,-300,2791,2951,90
62,35,69,-400,2698,2858,90
63,22,66,-100,2504,2664,90
64,20,80,-100,2216,2376,90
65,18,75,-300,2311,2471,90
66,15,75,-200,1742,1902,90
67,28,52,-100,22,182,90
68,30,56,-200,0,3288,90
69,14,66,-300,1643,1803,90
70,20,55,-100,303,463,90
71,8,62,-100,0,3265,90
72,4,55,-200,1447,1607,90
73,5,45,-100,1253,1413,90
74,10,35,-200,0,3266,90
75,36,18,-300,1819,1979,90
76,35,32,-100,2758,2918,90
77,33,32,-200,2666,2826,90
78,33,35,-100,2573,2733,90
79,25,35,-100,0,3278,90
80,34,25,-100,2009,2169,90
81,36,40,-100,0,3289,90
82,26,32,-100,0,3277,90
83,42,10,-200,1160,1320,90
84,42,15,-100,1065,1225,90
85,38,15,-100,1725,1885,90
86,38,5,-100,1442,1602,90
87,38,10,-100,0,3259,90
88,35,5,-100,1535,1695,90
89,47,35,-500,588,748,90
90,45,35,-500,680,840,90
91,95,30,-300,2321,2481,90
92,90,35,-200,2131,2291,90
93,62,40,-100,0,3275,90
94,78,40,-100,2802,2962,90
95,87,30,-300,2608,2768,90
96,85,25,-200,2513,2673,90
97,85,35,-100,2703,2863,90
98,72,55,-300,0,3267,90
99,70,58,-100,1641,1801,90
100,60,55,-200,3119,3279,90
101,55,80,-400,407,567,90
102,55,85,-200,502,662,90
