NB_VEHICLES,CAPACITY,SPEED,NB_REQUEST
50,7000,1,51

NO,X_COORD,Y_COORD,DEMAND,E_TIME,L_TIME,S_TIME
0,40,50,0,0,3390,0
1,52,75,100,71,711,90
2,45,70,300,20,660,90
3,62,69,100,927,1567,90
4,60,66,100,1021,1661,90
5,42,65,100,15,655,90
6,16,42,200,257,897,90
7,35,66,100,2551,3191,90
8,20,85,400,1694,2334,90
9,35,69,100,2458,3098,90
10,5,35,100,636,1276,90
11,0,40,300,823,1463,90
12,18,75,200,2071,2711,90
13,15,75,200,1502,2142,90
14,15,80,100,1597,2237,0
15,30,50,100,10,650,90
16,28,52,200,12,652,90
17,10,35,200,541,1181,90
18,25,50,100,15,655,90
19,5,45,100,1013,1653,90
20,2,40,200,731,1371,90
21,20,50,100,158,798,90
22,20,55,100,63,703,90
23,50,35,200,18,658,90
24,25,35,100,2145,2785,90
25,35,5,200,1295,1935,90
26,26,32,100,2052,2692,90
27,48,20,100,727,1367,90
28,34,25,300,1769,2409,90
29,44,5,200,1016,1656,90
30,50,30,100,161,801,90
31,38,10,100,1390,2030,90
32,42,10,400,920,1560,90
33,42,15,100,825,1465,90
34,47,35,100,348,988,90
35,47,40,100,12,652,90
36,53,30,100,68,708,90
37,53,35,500,19,659,90
38,45,35,100,440,1080,90
39,90,35,100,1891,2531,90
40,95,35,200,1986,2626,90
41,75,55,200,1685,2325,90
42,45,65,200,15,655,90
43,87,30,100,2368,3008,90
44,85,25,100,2273,2913,90
45,85,35,300,2463,3103,0
46,65,60,300,1306,1946,90
47,70,58,200,1401,2041,90
48,66,55,100,1496,2136,90
49,65,82,100,548,1188,90
50,42,58,400,8,648,90
51,60,85,300,357,997,90
52,55,85,-100,262,902,90
53,58,70,-300,833,1473,90
54,56,64,-100,1115,1755,90
55,72,45,-100,2627,3267,90
56,55,80,-100,167,807,90
57,20,80,-200,1976,2616,90
58,34,60,-100,2647,3287,90
59,28,70,-400,2361,3001,90
60,30,56,-100,2648,3288,90
61,25,85,-100,1879,2519,90
62,22,75,-300,2165,2805,90
63,22,85,-200,1786,2426,90
64,22,66,-200,2264,2904,90
65,15,80,-100,1597,2237,90
66,23,52,-100,17,657,90
67,0,45,-200,918,1558,90
68,14,66,-200,1403,2043,90
69,8,45,-100,1106,1746,90
70,8,62,-100,1305,1945,90
71,4,55,-200,1207,1847,90
72,8,40,-100,445,1085,90
73,10,40,-100,353,993,90
74,36,18,-200,1579,2219,90
75,35,32,-100,2518,3158,90
76,33,32,-200,2426,3066,90
77,33,35,-100,2333,2973,90
78,32,20,-100,1673,2313,90
79,30,30,-300,1865,2505,90
80,30,35,-200,2240,2880,90
81,36,40,-100,2616,3256,90
82,25,30,-100,1960,2600,90
83,38,5,-400,1202,1842,90
84,38,15,-100,1485,2125,90
85,40,5,-100,1110,1750,90
86,50,40,-100,14,654,90
87,48,30,-100,253,893,90
88,44,25,-500,631,1271,90
89,42,30,-100,536,1176,90
90,95,30,-100,2081,2721,90
91,64,46,-200,2635,3275,90
92,92,30,-200,2174,2814,90
93,62,80,-200,641,1281,90
94,78,40,-100,2562,3202,90
95,60,55,-100,2639,3279,90
96,85,35,-300,2463,3103,90
97,72,55,-300,1592,2232,90
98,86,46,-200,1789,2429,90
99,62,40,-100,2635,3275,90
100,60,60,-100,1211,1851,90
101,67,85,-400,454,1094,90
102,58,75,-300,738,1378,90
