NB_VEHICLES,CAPACITY,SPEED,NB_REQUEST
50,2000,1,53

NO,X_COORD,Y_COORD,DEMAND,E_TIME,L_TIME,S_TIME
0,40,50,0,0,240,0
1,25,85,200,125,191,10
2,22,75,300,32,97,10
3,15,80,100,56,155,10
4,20,80,400,71,193,10
5,20,85,200,40,113,10
6,15,75,200,69,118,0
7,2,45,100,38,109,10
8,0,45,200,60,189,10
9,8,40,400,33,152,10
10,8,45,200,49,108,10
11,5,45,100,35,117,10
12,44,5,200,79,124,10
13,42,10,400,58,115,10
14,40,5,100,52,111,10
15,40,15,400,55,158,10
16,38,5,300,45,164,10
17,25,30,30,36,97,10
18,45,30,170,20,139,10
19,95,30,300,105,154,10
20,95,35,200,57,172,10
21,92,30,100,55,120,10
22,88,35,200,50,110,10
23,85,25,100,51,178,0
24,67,85,200,61,185,10
25,60,80,100,36,191,10
26,62,80,300,37,148,10
27,55,80,100,33,166,10
28,58,75,200,48,165,10
29,72,35,300,104,157,10
30,55,20,190,69,126,10
31,24,58,190,24,139,10
32,57,48,230,86,133,10
33,30,60,160,95,214,0
34,35,40,160,11,140,10
35,5,5,160,60,117,10
36,12,24,130,68,141,10
37,15,60,170,137,202,10
38,45,65,90,55,106,10
39,65,35,30,29,158,10
40,65,20,60,39,108,10
41,65,55,140,52,107,10
42,31,52,270,9,134,10
43,2,60,50,65,118,10
44,63,65,80,27,101,10
45,20,20,80,72,193,0
46,4,18,350,112,157,10
47,26,52,90,30,91,10
48,49,58,100,80,121,0
49,27,43,90,26,87,10
50,37,31,140,19,87,10
51,56,37,60,20,84,10
52,53,43,140,14,155,10
53,49,42,130,151,212,0
54,18,80,-200,98,157,10
55,18,75,-300,55,164,10
56,22,85,-100,101,146,10
57,31,67,-400,66,210,10
58,20,82,-200,37,177,10
59,15,75,-200,69,118,10
60,10,35,-100,51,160,10
61,10,40,-200,90,177,10
62,2,40,-400,39,161,10
63,5,35,-200,62,191,10
64,0,40,-100,59,114,10
65,42,5,-200,120,184,10
66,42,15,-400,111,162,10
67,50,35,-100,88,201,10
68,41,37,-400,92,203,10
69,42,12,-300,79,158,10
70,38,15,-30,128,194,10
71,35,5,-170,54,184,10
72,88,30,-300,52,159,10
73,87,30,-200,116,175,10
74,85,35,-100,100,151,10
75,90,35,-200,52,112,10
76,85,25,-100,51,178,10
77,65,85,-200,43,186,10
78,65,82,-100,113,164,10
79,55,82,-300,35,148,10
80,60,85,-100,50,149,10
81,55,85,-200,117,168,10
82,55,54,-300,121,172,10
83,47,47,-190,97,222,10
84,20,50,-190,57,154,10
85,55,60,-230,127,180,10
86,30,60,-160,95,214,10
87,30,25,-160,82,139,10
88,15,10,-160,56,182,10
89,10,20,-130,42,125,10
90,40,60,-170,100,217,10
91,37,47,-90,74,127,10
92,60,12,-30,42,143,10
93,67,5,-60,105,177,10
94,64,42,-140,28,141,10
95,6,68,-270,54,153,10
96,35,69,-50,60,210,10
97,61,52,-80,69,208,10
98,20,20,-80,72,193,10
99,23,3,-350,52,180,10
100,8,56,-90,46,163,10
101,49,58,-100,80,121,10
102,26,35,-90,37,146,10
103,21,24,-140,77,126,10
104,57,29,-60,62,159,10
105,63,23,-140,76,127,10
106,49,42,-130,151,212,10
